M̻s;TikTok: (Todo o mundo);Instagram: (Todo o mundo);Facebook: (Todo o mundo);Snapchat: (Todo o mundo)
2015-01;1;4;97;1
2015-02;1;4;99;1
2015-03;1;4;99;1
2015-04;1;4;98;1
2015-05;1;5;97;1
2015-06;1;5;96;1
2015-07;1;5;100;1
2015-08;1;5;94;1
2015-09;1;5;88;1
2015-10;1;5;93;1
2015-11;1;5;92;1
2015-12;1;5;87;1
2016-01;1;5;97;1
2016-02;1;5;89;1
2016-03;1;5;90;1
2016-04;1;5;88;1
2016-05;1;5;87;1
2016-06;1;6;89;1
2016-07;1;6;86;1
2016-08;1;6;85;1
2016-09;1;6;79;1
2016-10;1;6;77;1
2016-11;1;6;69;1
2016-12;1;6;73;1
2017-01;1;6;72;1
2017-02;1;6;68;1
2017-03;1;6;66;1
2017-04;1;7;69;1
2017-05;1;6;66;1
2017-06;1;6;64;1
2017-07;1;7;66;1
2017-08;1;7;66;1
2017-09;1;7;63;1
2017-10;1;7;61;1
2017-11;1;7;58;1
2017-12;1;7;55;1
2018-01;1;8;54;1
2018-02;1;7;53;1
2018-03;1;7;48;1
2018-04;1;8;49;1
2018-05;1;8;46;1
2018-06;1;8;45;1
2018-07;1;8;45;1
2018-08;1;8;43;1
2018-09;1;8;41;1
2018-10;1;8;39;1
2018-11;1;8;39;1
2018-12;1;8;37;1
2019-01;1;9;36;1
2019-02;1;8;36;1
2019-03;1;9;34;1
2019-04;1;8;33;1
2019-05;1;9;36;1
2019-06;1;10;35;1
2019-07;1;10;34;1
2019-08;1;10;33;1
2019-09;2;10;30;1
2019-10;1;9;31;1
2019-11;1;9;30;1
2019-12;1;9;31;1
2020-01;2;10;29;1
2020-02;2;9;29;1
2020-03;2;9;30;1
2020-04;3;11;31;1
2020-05;3;11;30;1
2020-06;3;10;29;1
2020-07;3;10;28;1
2020-08;3;9;27;1
2020-09;3;10;27;1
2020-10;3;9;27;1
2020-11;3;9;25;1
2020-12;3;9;25;1
2021-01;3;9;25;1
2021-02;4;9;24;1
2021-03;4;9;22;1
2021-04;4;9;23;1
2021-05;5;10;23;1
2021-06;4;9;21;1
2021-07;5;9;22;1
2021-08;4;9;20;1
2021-09;5;9;21;1
2021-10;5;9;22;1
2021-11;5;9;20;1
2021-12;5;9;20;1
2022-01;5;9;18;1
2022-02;5;9;19;1
2022-03;5;9;18;1
2022-04;5;10;18;1
2022-05;5;10;18;1
2022-06;5;10;18;1
2022-07;5;10;18;1
2022-08;5;10;18;1
2022-09;5;10;17;1
2022-10;5;10;17;1
2022-11;5;10;17;1
2022-12;5;10;16;1
2023-01;5;10;18;1
