M̻s;Amazon: (Brasil);Shopee: (Brasil);AliExpress: (Brasil);Mercado Livre: (Brasil);Ponto: (Brasil)
2015-01;5;0;36;64;23
2015-02;5;0;34;64;18
2015-03;5;0;29;67;19
2015-04;5;0;28;67;18
2015-05;5;0;28;68;18
2015-06;5;0;25;72;16
2015-07;5;1;26;72;18
2015-08;5;0;25;72;17
2015-09;4;0;19;71;17
2015-10;4;0;17;73;16
2015-11;5;1;17;72;22
2015-12;5;0;15;77;17
2016-01;5;0;13;68;14
2016-02;4;0;13;64;12
2016-03;4;0;12;64;11
2016-04;5;0;12;63;10
2016-05;4;0;14;67;11
2016-06;4;1;14;68;9
2016-07;5;0;15;72;9
2016-08;5;0;16;68;9
2016-09;5;0;16;70;9
2016-10;5;0;16;69;9
2016-11;6;1;16;77;13
2016-12;6;0;13;75;10
2017-01;6;0;15;74;10
2017-02;6;1;14;74;8
2017-03;7;0;18;80;9
2017-04;5;1;17;75;9
2017-05;6;0;15;82;9
2017-06;6;0;14;83;9
2017-07;6;0;17;86;9
2017-08;7;1;17;90;9
2017-09;6;1;16;91;8
2017-10;7;1;15;91;8
2017-11;8;0;16;97;13
2017-12;7;0;13;93;8
2018-01;7;0;15;100;9
2018-02;7;1;14;93;8
2018-03;7;0;13;88;8
2018-04;7;1;12;83;7
2018-05;6;1;11;78;7
2018-06;6;1;10;75;7
2018-07;6;1;10;72;7
2018-08;7;1;10;74;7
2018-09;6;1;8;72;7
2018-10;6;0;7;65;6
2018-11;10;1;8;75;12
2018-12;9;1;7;76;8
2019-01;10;0;8;71;8
2019-02;9;1;8;65;6
2019-03;10;1;9;65;6
2019-04;10;1;8;64;5
2019-05;10;1;9;68;6
2019-06;10;1;9;67;5
2019-07;12;1;10;72;5
2019-08;12;1;11;74;5
2019-09;15;1;10;67;5
2019-10;14;1;9;69;5
2019-11;17;1;10;75;9
2019-12;17;1;9;71;7
2020-01;16;1;9;71;6
2020-02;16;1;8;67;5
2020-03;20;1;6;65;5
2020-04;22;1;6;77;6
2020-05;30;1;6;95;8
2020-06;29;1;8;98;8
2020-07;30;2;7;98;7
2020-08;28;2;7;84;7
2020-09;25;2;6;79;6
2020-10;25;3;5;73;5
2020-11;27;7;7;71;7
2020-12;24;6;6;81;5
2021-01;22;6;6;73;4
2021-02;22;8;6;64;4
2021-03;25;11;6;62;4
2021-04;25;12;8;66;4
2021-05;25;12;8;62;4
2021-06;29;13;8;62;4
2021-07;24;14;8;61;4
2021-08;22;15;7;58;3
2021-09;23;17;7;57;3
2021-10;22;17;6;61;3
2021-11;25;19;6;62;4
2021-12;25;17;5;63;3
2022-01;31;21;7;59;3
2022-02;27;21;8;56;3
2022-03;27;22;8;57;3
2022-04;25;21;8;57;2
2022-05;28;22;8;53;2
2022-06;28;21;7;54;2
2022-07;35;25;7;52;2
2022-08;28;24;7;48;2
2022-09;27;23;7;49;2
2022-10;24;21;7;48;2
2022-11;33;22;9;53;3
2022-12;31;21;8;54;2
2023-01;34;22;8;52;2
