M̻s;Centauro: (Brasil);Nike: (Brasil);Adidas: (Brasil);Olympikus: (Brasil);Under Armour: (Brasil)
2015-01;34;33;21;1;1
2015-02;34;35;21;1;2
2015-03;35;36;22;1;2
2015-04;32;34;22;1;3
2015-05;35;39;25;1;4
2015-06;34;38;24;1;1
2015-07;35;39;25;1;1
2015-08;35;37;24;2;1
2015-09;30;38;24;1;1
2015-10;29;37;23;1;1
2015-11;43;49;30;2;1
2015-12;37;51;32;2;1
2016-01;23;40;27;1;1
2016-02;22;38;28;1;1
2016-03;20;41;29;1;1
2016-04;21;42;37;1;1
2016-05;22;50;46;2;2
2016-06;21;51;48;2;2
2016-07;22;45;48;2;2
2016-08;21;47;41;3;1
2016-09;19;45;38;3;1
2016-10;19;45;41;2;1
2016-11;27;52;47;3;1
2016-12;25;53;48;3;1
2017-01;19;40;35;3;1
2017-02;18;38;32;3;2
2017-03;18;41;31;3;1
2017-04;17;41;33;3;1
2017-05;20;43;34;3;1
2017-06;20;44;36;3;1
2017-07;20;44;39;3;2
2017-08;21;46;37;4;1
2017-09;19;43;33;3;2
2017-10;19;43;35;3;2
2017-11;29;54;43;3;2
2017-12;26;55;44;3;2
2018-01;22;45;37;3;2
2018-02;19;45;38;3;2
2018-03;19;44;39;2;1
2018-04;20;45;38;3;1
2018-05;22;51;38;3;1
2018-06;26;59;43;3;2
2018-07;23;55;48;3;2
2018-08;21;52;43;3;2
2018-09;19;49;38;3;1
2018-10;18;47;34;3;1
2018-11;28;58;42;4;2
2018-12;26;60;45;3;2
2019-01;21;46;34;3;2
2019-02;20;48;35;3;2
2019-03;18;49;36;3;2
2019-04;19;46;38;3;2
2019-05;21;52;38;4;2
2019-06;22;57;41;4;2
2019-07;22;58;41;4;2
2019-08;23;57;40;4;2
2019-09;20;54;37;3;2
2019-10;20;54;35;3;1
2019-11;32;67;46;4;2
2019-12;32;72;45;4;2
2020-01;23;59;42;4;2
2020-02;24;60;38;3;1
2020-03;17;46;28;2;1
2020-04;16;44;25;2;1
2020-05;27;55;35;3;1
2020-06;27;56;34;4;1
2020-07;26;58;37;4;1
2020-08;28;63;38;4;1
2020-09;23;57;31;4;2
2020-10;20;55;33;3;1
2020-11;28;67;40;4;2
2020-12;24;72;38;4;1
2021-01;17;50;28;4;1
2021-02;16;50;29;3;1
2021-03;14;46;27;3;1
2021-04;16;54;30;4;1
2021-05;18;63;36;4;1
2021-06;20;65;36;4;1
2021-07;20;71;38;5;1
2021-08;19;72;37;5;1
2021-09;16;67;32;4;1
2021-10;16;72;33;5;1
2021-11;23;79;40;5;2
2021-12;23;83;40;5;2
2022-01;19;70;35;5;2
2022-02;19;75;37;5;2
2022-03;19;77;38;5;2
2022-04;19;82;38;6;2
2022-05;21;86;43;6;2
2022-06;21;85;43;5;2
2022-07;19;81;39;6;2
2022-08;21;91;41;7;2
2022-09;18;75;36;5;2
2022-10;18;71;33;5;2
2022-11;31;100;47;6;3
2022-12;27;90;45;6;2
2023-01;19;63;32;7;2
